Location,Lat,Long,,,,
Ontario,43.653033,-79.386052,,,,
Alberta,53.502043,-113.576791,,,,
Ontario,43.653033,-79.386052,,,,
Ontario,43.653033,-79.386052,,,,
Ontario,43.653033,-79.386052,,,,
Quebec,45.582223,-73.642776,,,,
British Columbia,49.281078,-123.123179,,,,
Ontario,43.653033,-79.386052,,,,
Quebec,45.582223,-73.642776,,,,
Ontario,43.653033,-79.386052,,,,
Hong KongÂ ,22.315474,114.044921,,,,
Ontario,43.653033,-79.386052,,,,
Hungary,47.510583,19.057262,,,,
Quebec,45.582223,-73.642776,,,,
Quebec,45.582223,-73.642776,,,,
Nova Scotia,44.639945,-63.578811,,,,
Ontario,43.653033,-79.386052,,,,
Ontario,43.653033,-79.386052,,,,
China,39.902166,116.421012,,,,
Romania,44.426348,26.088547,,,,
Quebec,45.582223,-73.642776,,,,
Ontario,43.653033,-79.386052,,,,
Ontario,43.653033,-79.386052,,,,
Quebec,45.582223,-73.642776,,,,
Ontario,43.652308,-79.38335,,,,
Alberta,53.502043,-113.576791,,,,
Ontario,43.652308,-79.38335,,,,
Ontario,43.652308,-79.38335,,,,
Ontario,43.652308,-79.38335,,,,
Ontario,43.652308,-79.38335,,,,
British Columbia,49.260635,-123.114746,,,,
Ontario,43.652308,-79.38335,,,,
Quebec,45.582223,-73.642776,,,,
Quebec,45.582223,-73.642776,,,,
British Columbia,49.260635,-123.114746,,,,
Ontario,43.652308,-79.38335,,,,
Ontario,43.652308,-79.38335,,,,
Quebec,45.582223,-73.642776,,,,
Quebec,45.582223,-73.642776,,,,
Ontario,43.652308,-79.38335,,,,
Ontario,43.652308,-79.38335,,,,
Quebec,45.582223,-73.642776,,,,
British Columbia,49.260635,-123.114746,,,,
Romania,44.436141,26.10272,,,,
Ontario,43.652308,-79.38335,,,,
Ontario,43.652308,-79.38335,,,,
Ontario,43.652308,-79.38335,,,,
Ontario,43.652308,-79.38335,,,,